key,enabled,identity,password,username
"user-account-consumer-01,true,""UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}"",consumer1,consumer1"
"user-account-consumer-02,true,""UserIdentity{name: 'Mary', surname: 'è²¸ã‚“ã„å»ºæ¿¯ã‚ˆèŠå¼¾ãƒ†ã‚½ Î›Î¿ÏÎµÎ¼ Î¹Ï€ÏƒÎ¸Î¼', email: 'mary@acme.com'}"",consumer2,consumer2"
"user-account-consumer-03,true,""UserIdentity{name: 'Manolo', surname: 'ä¹‹ä¹Žè·¯å¯è‰¯ á¥á²áŽáŽ­', email: 'manolo@acme.com'}"",consumer3,consumer3"
"user-account-provider-01,true,""UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}"",provider1,provider1"
"user-account-provider-02,true,""UserIdentity{name: 'Martina', surname: 'ÐºÐ¾Ð·Ð° áƒ—áƒ®áƒ', email: 'martina@acme.com'}"",provider2,provider2"
"user-account-provider-03,true,""UserIdentity{name: 'Antonia', surname: '××‘×˜×™×— Ã†lÃ¸zÃ¥', email: 'antonia@acme.com'}"",provider3,provider3"
"user-account-agent-01,true,""UserIdentity{name: 'Lurel', surname: 'Agent', email: 'lurel@acme.com'}"",agent1,agent1"
"user-account-agent-02,true,""UserIdentity{name: 'Lorel', surname: 'ä¹‹ä¹Ž', email: 'll@acme.com'}"",agent2,agent2"
"user-account-customer-01,true,""UserIdentity{name: 'Lucy', surname: 'Ø§Ù„ÙØ§Ø±Ø³ÙŠ', email: 'lucy@acme.com'}"",customer1,customer1"
"user-account-customer-02,true,""UserIdentity{name: 'Lucay', surname: 'Customer', email: 'lucay@acme.com'}"",customer2,customer2"
"user-account-customer-03,true,""UserIdentity{name: 'Aluay', surname: 'à¹€à¸›à¸™à¸²à¸¥à¸­à¸‹à¹ˆà¸²', email: 'aluay@acme.com'}"",customer3,customer3"
"user-account-manager-01,true,""UserIdentity{name: 'Jose', surname: 'Garcia Delgado', email: 'example@email.com'}"",manager1,manager1"
"user-account-manager-02,true,""UserIdentity{name: 'Juan', surname: 'Saler Merito', email: 'example2@email.com'}"",manager2,manager2"
"user-account-manager-03,true,""UserIdentity{name: 'Geralt', surname: 'Bardo', email: 'example3@email.com'}"",manager3,manager3"
"user-account-flight-crew-member-01,true,""UserIdentity{name: 'Åxel', surname: 'Møller-Grün', email: 'axelmg@email.com'}"",member1,member1"
"user-account-flight-crew-member-02,true,""UserIdentity{name: 'Zoë', surname: 'Łukaszewski', email: 'zoeluk@email.com'}"",member2,member2"
"user-account-flight-crew-member-03,true,""UserIdentity{name: 'Íñigo', surname: 'Østergård', email: 'inigoost@email.com'}"",member3,member3"
"user-account-flight-crew-member-04,true,""UserIdentity{name: 'Maëlle', surname: 'Černý', email: 'maellec@email.com'}"",member4,member4"
"user-account-flight-crew-member-05,true,""UserIdentity{name: 'Tórbjörn', surname: 'Šebestić', email: 'torbjseb@email.com'}"",member5,member5"
